# x	PB	PS	Z	NS	NB	
-2.000000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.980000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.960000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.940000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.920000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.900000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.880000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.860000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.840000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.820000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.800000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.780000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.760000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.740000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.720000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.700000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.680000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.660000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.640000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.620000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.600000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.580000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.560000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.540000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.520000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.480000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.460000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.440000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.420000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.400000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.380000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.360000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.340000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.320000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.300000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.280000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.260000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.240000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.220000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.200000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.180000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.160000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.140000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.120000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.100000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.080000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.060000	0.000000	0.000000	0.000000	0.000000	1.000000
-1.040000	0.000000	0.000000	0.000000	0.000001	1.000000
-1.020000	0.000000	0.000000	0.000000	0.000002	1.000000
-1.000000	0.000000	0.000000	0.000000	0.000004	1.000000
-0.980000	0.000000	0.000000	0.000000	0.000007	1.000000
-0.960000	0.000000	0.000000	0.000000	0.000014	1.000000
-0.940000	0.000000	0.000000	0.000000	0.000025	1.000000
-0.920000	0.000000	0.000000	0.000000	0.000047	1.000000
-0.900000	0.000000	0.000000	0.000000	0.000084	1.000000
-0.880000	0.000000	0.000000	0.000000	0.000148	1.000000
-0.860000	0.000000	0.000000	0.000000	0.000256	1.000000
-0.840000	0.000000	0.000000	0.000000	0.000437	1.000000
-0.820000	0.000000	0.000000	0.000000	0.000732	1.000000
-0.800000	0.000000	0.000000	0.000001	0.001204	1.000000
-0.780000	0.000000	0.000000	0.000001	0.001946	1.000000
-0.760000	0.000000	0.000000	0.000003	0.003089	1.000000
-0.740000	0.000000	0.000000	0.000005	0.004817	1.000000
-0.720000	0.000000	0.000000	0.000010	0.007381	1.000000
-0.700000	0.000000	0.000000	0.000019	0.011109	1.000000
-0.680000	0.000000	0.000000	0.000034	0.016426	1.000000
-0.660000	0.000000	0.000000	0.000063	0.023860	1.000000
-0.640000	0.000000	0.000000	0.000111	0.034047	1.000000
-0.620000	0.000000	0.000000	0.000195	0.047729	1.000000
-0.600000	0.000000	0.000000	0.000335	0.065729	1.000000
-0.580000	0.000000	0.000000	0.000567	0.088922	1.000000
-0.560000	0.000000	0.000000	0.000941	0.118179	1.000000
-0.540000	0.000000	0.000001	0.001534	0.154295	1.000000
-0.520000	0.000000	0.000002	0.002457	0.197899	1.000000
-0.500000	0.000000	0.000004	0.003866	0.249352	1.000000
-0.480000	0.000000	0.000007	0.005976	0.308647	0.991151
-0.460000	0.000000	0.000014	0.009075	0.375311	0.965069
-0.440000	0.000000	0.000025	0.013538	0.448332	0.923116
-0.420000	0.000000	0.000047	0.019841	0.526122	0.867428
-0.400000	0.000000	0.000084	0.028566	0.606531	0.800737
-0.380000	0.000000	0.000148	0.040401	0.686908	0.726149
-0.360000	0.000000	0.000256	0.056135	0.764228	0.646905
-0.340000	0.000000	0.000437	0.076621	0.835270	0.566154
-0.320000	0.000000	0.000732	0.102740	0.896830	0.486752
-0.300000	0.000001	0.001204	0.135335	0.945959	0.411112
-0.280000	0.000001	0.001946	0.175131	0.980199	0.341108
-0.260000	0.000003	0.003089	0.222635	0.997780	0.278037
-0.240000	0.000005	0.004817	0.278037	0.997780	0.222635
-0.220000	0.000010	0.007381	0.341108	0.980199	0.175131
-0.200000	0.000019	0.011109	0.411112	0.945959	0.135335
-0.180000	0.000034	0.016426	0.486752	0.896830	0.102740
-0.160000	0.000063	0.023860	0.566154	0.835270	0.076621
-0.140000	0.000111	0.034047	0.646905	0.764228	0.056135
-0.120000	0.000195	0.047729	0.726149	0.686908	0.040401
-0.100000	0.000335	0.065729	0.800737	0.606531	0.028566
-0.080000	0.000567	0.088922	0.867428	0.526122	0.019841
-0.060000	0.000941	0.118179	0.923116	0.448332	0.013538
-0.040000	0.001534	0.154295	0.965069	0.375311	0.009075
-0.020000	0.002457	0.197899	0.991151	0.308647	0.005976
0.000000	0.003866	0.249352	1.000000	0.249352	0.003866
0.020000	0.005976	0.308647	0.991151	0.197899	0.002457
0.040000	0.009075	0.375311	0.965069	0.154295	0.001534
0.060000	0.013538	0.448332	0.923116	0.118179	0.000941
0.080000	0.019841	0.526122	0.867428	0.088922	0.000567
0.100000	0.028566	0.606531	0.800737	0.065729	0.000335
0.120000	0.040401	0.686908	0.726149	0.047729	0.000195
0.140000	0.056135	0.764228	0.646905	0.034047	0.000111
0.160000	0.076621	0.835270	0.566154	0.023860	0.000063
0.180000	0.102740	0.896830	0.486752	0.016426	0.000034
0.200000	0.135335	0.945959	0.411112	0.011109	0.000019
0.220000	0.175131	0.980199	0.341108	0.007381	0.000010
0.240000	0.222635	0.997780	0.278037	0.004817	0.000005
0.260000	0.278037	0.997780	0.222635	0.003089	0.000003
0.280000	0.341108	0.980199	0.175131	0.001946	0.000001
0.300000	0.411112	0.945959	0.135335	0.001204	0.000001
0.320000	0.486752	0.896830	0.102740	0.000732	0.000000
0.340000	0.566154	0.835270	0.076621	0.000437	0.000000
0.360000	0.646905	0.764228	0.056135	0.000256	0.000000
0.380000	0.726149	0.686908	0.040401	0.000148	0.000000
0.400000	0.800737	0.606531	0.028566	0.000084	0.000000
0.420000	0.867428	0.526122	0.019841	0.000047	0.000000
0.440000	0.923116	0.448332	0.013538	0.000025	0.000000
0.460000	0.965069	0.375311	0.009075	0.000014	0.000000
0.480000	0.991151	0.308647	0.005976	0.000007	0.000000
0.500000	1.000000	0.249352	0.003866	0.000004	0.000000
0.520000	1.000000	0.197899	0.002457	0.000002	0.000000
0.540000	1.000000	0.154295	0.001534	0.000001	0.000000
0.560000	1.000000	0.118179	0.000941	0.000000	0.000000
0.580000	1.000000	0.088922	0.000567	0.000000	0.000000
0.600000	1.000000	0.065729	0.000335	0.000000	0.000000
0.620000	1.000000	0.047729	0.000195	0.000000	0.000000
0.640000	1.000000	0.034047	0.000111	0.000000	0.000000
0.660000	1.000000	0.023860	0.000063	0.000000	0.000000
0.680000	1.000000	0.016426	0.000034	0.000000	0.000000
0.700000	1.000000	0.011109	0.000019	0.000000	0.000000
0.720000	1.000000	0.007381	0.000010	0.000000	0.000000
0.740000	1.000000	0.004817	0.000005	0.000000	0.000000
0.760000	1.000000	0.003089	0.000003	0.000000	0.000000
0.780000	1.000000	0.001946	0.000001	0.000000	0.000000
0.800000	1.000000	0.001204	0.000001	0.000000	0.000000
0.820000	1.000000	0.000732	0.000000	0.000000	0.000000
0.840000	1.000000	0.000437	0.000000	0.000000	0.000000
0.860000	1.000000	0.000256	0.000000	0.000000	0.000000
0.880000	1.000000	0.000148	0.000000	0.000000	0.000000
0.900000	1.000000	0.000084	0.000000	0.000000	0.000000
0.920000	1.000000	0.000047	0.000000	0.000000	0.000000
0.940000	1.000000	0.000025	0.000000	0.000000	0.000000
0.960000	1.000000	0.000014	0.000000	0.000000	0.000000
0.980000	1.000000	0.000007	0.000000	0.000000	0.000000
1.000000	1.000000	0.000004	0.000000	0.000000	0.000000
1.020000	1.000000	0.000002	0.000000	0.000000	0.000000
1.040000	1.000000	0.000001	0.000000	0.000000	0.000000
1.060000	1.000000	0.000000	0.000000	0.000000	0.000000
1.080000	1.000000	0.000000	0.000000	0.000000	0.000000
1.100000	1.000000	0.000000	0.000000	0.000000	0.000000
1.120000	1.000000	0.000000	0.000000	0.000000	0.000000
1.140000	1.000000	0.000000	0.000000	0.000000	0.000000
1.160000	1.000000	0.000000	0.000000	0.000000	0.000000
1.180000	1.000000	0.000000	0.000000	0.000000	0.000000
1.200000	1.000000	0.000000	0.000000	0.000000	0.000000
1.220000	1.000000	0.000000	0.000000	0.000000	0.000000
1.240000	1.000000	0.000000	0.000000	0.000000	0.000000
1.260000	1.000000	0.000000	0.000000	0.000000	0.000000
1.280000	1.000000	0.000000	0.000000	0.000000	0.000000
1.300000	1.000000	0.000000	0.000000	0.000000	0.000000
1.320000	1.000000	0.000000	0.000000	0.000000	0.000000
1.340000	1.000000	0.000000	0.000000	0.000000	0.000000
1.360000	1.000000	0.000000	0.000000	0.000000	0.000000
1.380000	1.000000	0.000000	0.000000	0.000000	0.000000
1.400000	1.000000	0.000000	0.000000	0.000000	0.000000
1.420000	1.000000	0.000000	0.000000	0.000000	0.000000
1.440000	1.000000	0.000000	0.000000	0.000000	0.000000
1.460000	1.000000	0.000000	0.000000	0.000000	0.000000
1.480000	1.000000	0.000000	0.000000	0.000000	0.000000
1.500000	1.000000	0.000000	0.000000	0.000000	0.000000
1.520000	1.000000	0.000000	0.000000	0.000000	0.000000
1.540000	1.000000	0.000000	0.000000	0.000000	0.000000
1.560000	1.000000	0.000000	0.000000	0.000000	0.000000
1.580000	1.000000	0.000000	0.000000	0.000000	0.000000
1.600000	1.000000	0.000000	0.000000	0.000000	0.000000
1.620000	1.000000	0.000000	0.000000	0.000000	0.000000
1.640000	1.000000	0.000000	0.000000	0.000000	0.000000
1.660000	1.000000	0.000000	0.000000	0.000000	0.000000
1.680000	1.000000	0.000000	0.000000	0.000000	0.000000
1.700000	1.000000	0.000000	0.000000	0.000000	0.000000
1.720000	1.000000	0.000000	0.000000	0.000000	0.000000
1.740000	1.000000	0.000000	0.000000	0.000000	0.000000
1.760000	1.000000	0.000000	0.000000	0.000000	0.000000
1.780000	1.000000	0.000000	0.000000	0.000000	0.000000
1.800000	1.000000	0.000000	0.000000	0.000000	0.000000
1.820000	1.000000	0.000000	0.000000	0.000000	0.000000
1.840000	1.000000	0.000000	0.000000	0.000000	0.000000
1.860000	1.000000	0.000000	0.000000	0.000000	0.000000
1.880000	1.000000	0.000000	0.000000	0.000000	0.000000
1.900000	1.000000	0.000000	0.000000	0.000000	0.000000
1.920000	1.000000	0.000000	0.000000	0.000000	0.000000
1.940000	1.000000	0.000000	0.000000	0.000000	0.000000
1.960000	1.000000	0.000000	0.000000	0.000000	0.000000
1.980000	1.000000	0.000000	0.000000	0.000000	0.000000
2.000000	1.000000	0.000000	0.000000	0.000000	0.000000
