# t	theta	d_theta	d_d_x	
0.000000	0.785398	0.000000	0.000000
0.100000	0.735615	-0.473358	-0.162616
0.200000	0.638041	-0.927767	0.216849
0.300000	0.501013	-1.302906	0.722263
0.400000	0.336337	-1.565798	0.815314
0.500000	0.155186	-1.722445	0.900770
0.600000	-0.030113	-1.761883	0.993786
0.700000	-0.206867	-1.680636	1.070385
0.800000	-0.363108	-1.485596	1.127445
0.900000	-0.488458	-1.191866	1.151213
1.000000	-0.574870	-0.821636	1.151341
1.100000	-0.616996	-0.400549	1.125621
1.200000	-0.612426	0.043452	0.290334
1.300000	-0.566785	0.433968	0.006431
1.400000	-0.484714	0.780363	-0.212138
1.500000	-0.372773	1.064367	-0.317269
1.600000	-0.238782	1.274033	-0.878901
1.700000	-0.095057	1.366584	-0.952623
1.800000	0.048553	1.365501	-1.022728
1.900000	0.182228	1.271021	-1.080907
2.000000	0.296910	1.090440	-1.126216
2.100000	0.384927	0.836897	-1.154337
2.200000	0.440493	0.528333	-1.136646
2.300000	0.460218	0.187554	-0.706009
2.400000	0.445678	-0.138247	-0.204549
2.500000	0.401053	-0.424317	0.000448
2.600000	0.330508	-0.670757	0.232652
2.700000	0.240078	-0.859844	0.270246
2.800000	0.135843	-0.991103	0.910776
2.900000	0.028787	-1.017927	0.965536
3.000000	-0.073749	-0.974943	1.008058
3.100000	-0.164806	-0.865806	1.048493
3.200000	-0.238213	-0.697974	1.070756
3.300000	-0.289086	-0.483716	0.995207
3.400000	-0.314659	-0.243160	0.698799
3.500000	-0.315252	-0.005633	0.208790
3.600000	-0.294048	0.201612	0.013554
3.700000	-0.253692	0.383715	-0.016651
3.800000	-0.196985	0.539195	-0.229877
3.900000	-0.128998	0.646439	-0.259030
4.000000	-0.054338	0.709890	-0.399926
4.100000	0.021206	0.718302	-0.826528
4.200000	0.089892	0.653094	-0.880833
4.300000	0.146895	0.541996	-0.740272
4.400000	0.189447	0.404601	-0.624095
4.500000	0.215565	0.248344	-0.583591
4.600000	0.223832	0.078599	-0.228457
4.700000	0.216059	-0.073908	-0.051297
4.800000	0.193918	-0.210523	0.002218
4.900000	0.159195	-0.330155	0.046038
5.000000	0.114431	-0.425636	0.201553
5.100000	0.063560	-0.483699	0.255034
5.200000	0.010244	-0.506940	0.272608
